[run number],visualization,initial-population,[step],count turtles,mean [vision] of turtles,mean [metabolism] of turtles,mean [sugar] of turtles,mean [psugar] of patches
9,color-agents-by-metabolism,50,3,48,3.83333333333333,2.64583333333333,16.5,1.7964
10,color-agents-by-metabolism,50,12,37,3.2972972972973,2.16216216216216,25.4594594594595,1.8036
12,color-agents-by-metabolism,100,4,98,3.3469387755102,2.31632653061224,16.3979591836735,1.7504
12,color-agents-by-metabolism,100,5,95,3.41052631578947,2.28421052631579,17.1368421052632,1.7504
13,color-agents-by-metabolism,100,2,98,3.43877551020408,2.25510204081633,15.8571428571429,1.7492
11,color-agents-by-metabolism,100,8,92,3.59782608695652,2.45652173913043,18,1.746
14,color-agents-by-metabolism,100,7,85,3.63529411764706,2.28235294117647,20.1294117647059,1.75
13,color-agents-by-metabolism,100,3,98,3.43877551020408,2.25510204081633,16.1530612244898,1.7488
14,color-agents-by-metabolism,100,8,84,3.6547619047619,2.26190476190476,20.8928571428571,1.754
9,color-agents-by-metabolism,50,4,47,3.87234042553191,2.61702127659574,17,1.7964
11,color-agents-by-metabolism,100,9,88,3.63636363636364,2.40909090909091,19.1704545454545,1.7476
14,color-agents-by-metabolism,100,9,82,3.65853658536585,2.21951219512195,21.9878048780488,1.7544
13,color-agents-by-metabolism,100,4,97,3.42268041237113,2.23711340206186,16.6288659793814,1.7488
11,color-agents-by-metabolism,100,10,87,3.66666666666667,2.40229885057471,19.816091954023,1.7496
15,color-agents-by-metabolism,100,1,100,3.53,2.49,15.47,1.7436
14,color-agents-by-metabolism,100,10,80,3.7125,2.225,23.175,1.756
11,color-agents-by-metabolism,100,11,86,3.66279069767442,2.3953488372093,20.4883720930233,1.75
13,color-agents-by-metabolism,100,5,95,3.4,2.21052631578947,17.3263157894737,1.7496
16,color-agents-by-metabolism,100,0,100,3.77,2.56,15.19,1.8488
12,color-agents-by-metabolism,100,6,90,3.51111111111111,2.22222222222222,18.4555555555556,1.7516
11,color-agents-by-metabolism,100,12,82,3.69512195121951,2.39024390243902,21.9634146341463,1.7508
14,color-agents-by-metabolism,100,11,77,3.76623376623377,2.20779220779221,24.7792207792208,1.7564
9,color-agents-by-metabolism,50,5,42,4.02380952380952,2.54761904761905,19.2380952380952,1.7964
15,color-agents-by-metabolism,100,2,100,3.53,2.49,15.68,1.7408
9,color-agents-by-metabolism,50,6,40,4.075,2.475,20.775,1.7984
16,color-agents-by-metabolism,100,1,100,3.77,2.56,15.14,1.7484
11,color-agents-by-metabolism,100,13,81,3.67901234567901,2.37037037037037,22.8024691358025,1.7524
12,color-agents-by-metabolism,100,7,88,3.54545454545455,2.21590909090909,19.3295454545455,1.7532
14,color-agents-by-metabolism,100,12,76,3.78947368421053,2.21052631578947,25.8552631578947,1.758
13,color-agents-by-metabolism,100,6,94,3.3936170212766,2.20212765957447,17.9042553191489,1.7504
11,color-agents-by-metabolism,100,14,80,3.7,2.375,23.675,1.7532
12,color-agents-by-metabolism,100,8,85,3.6,2.16470588235294,20.5411764705882,1.754
9,color-agents-by-metabolism,50,7,40,4.075,2.475,21.425,1.7988
16,color-agents-by-metabolism,100,2,100,3.77,2.56,15.24,1.7424
11,color-agents-by-metabolism,100,15,79,3.69620253164557,2.35443037974684,24.5822784810127,1.7536
14,color-agents-by-metabolism,100,13,76,3.78947368421053,2.21052631578947,26.6184210526316,1.7584
13,color-agents-by-metabolism,100,7,90,3.46666666666667,2.17777777777778,19.1444444444444,1.7504
